"REPORTE POR:","AGENCIA"
"FECHA:","25/3/2026 - 25/3/2026"

"AGENCIA","VENTAS","PREMIOS","COMISIÓN","SALDO"
"CTO LA ESTRELLA 2","240","0","0","240"
"AG SAN FELIPE 2","15360","0","0","15360"
"AG WD CACTUS","700","0","0","700"
"AG CHIQUINQUIRA","660","0","0","660"
"WD ALIANZA 3 MERCAMARA","200","0","0","200"
"AG JUVENTUD","1140","0","0","1140"
"AG TECNOBET","3580","0","0","3580"
"CTO ESTRELLA 1","3030","1200","0","1830"
"AG SAN FELIPE 1","2770","0","0","2770"
"AG MATII","200","0","0","200"
"AG NANCY","2500","0","0","2500"
"CA. CRUCES","1400","0","0","1400"
"CA. MANZANILLO","2150","0","0","2150"
"AG JOMAR","100","0","0","100"
"KURLY NIÑO JESUS","200","0","0","200"
"FELIX DORADO","1340","0","0","1340"
"AG EL ABUELO","1000","0","0","1000"
"DON PEPE T1","1550","0","0","1550"
"CHAMO VIVIENDA","1890","0","0","1890"
"A QUE COMPOTA","180","0","0","180"
