Taquillas;Ventas;Anulados;Premios;% Venta Taq;% Venta Ag;% Venta Rec;% Par Rec;Venta - Premios - %
2vertigo2 Usd;44,87;0,00;44,87;0,00;4,39;0,90;0,00;-5,29
betulio1 Usd;615,00;0,00;482,65;0,00;53,50;12,30;0,00;66,55
dulcinea Usd;2,00;0,00;0,00;0,20;0,00;0,04;0,00;1,76
gregory Usd;276,00;0,00;0,00;0,00;24,40;5,52;0,00;246,08
mulata Usd;136,00;0,00;0,00;0,00;13,60;2,72;0,00;119,68
paquejuancho Usd;242,00;0,00;1.446,90;0,00;23,90;4,84;0,00;-1.233,64
paquejuancho2 Usd;45,00;0,00;686,73;0,00;4,50;0,90;0,00;-647,13
sbluistorres Usd;531,00;0,00;1.221,27;0,00;49,70;10,62;0,00;-750,59
sbmage Usd;1.521,00;100,00;215,66;0,00;140,26;30,42;0,00;1.134,66
sbmultijd Usd;323,00;0,00;0,00;0,00;32,30;6,46;0,00;284,24
yeiber Usd;2.954,50;0,00;1.517,92;0,00;246,18;59,09;0,00;1.131,31
Total Usd;6.690,37;100,00;5.616,00;0,20;592,73;133,81;0,00;347,63
