Taquillas;Ventas Parley;Ventas por Derecho;Anulados;Premios;Tickets Pagados;Venta - Pagados;Venta - Premios
1tecnobet Usd;5,00;0,00;0,00;0,00;0,00;5,00;5,00
betulio1 Usd;95,00;0,00;0,00;0,00;0,00;95,00;95,00
cruces Bs;1.150,00;0,00;0,00;798,16;0,00;1.150,00;351,84
cruces Usd;3,00;0,00;0,00;0,00;0,00;3,00;3,00
donlucho Bs;4.000,00;0,00;0,00;0,00;0,00;4.000,00;4.000,00
gregory Bs;5.390,00;0,00;200,00;768,46;768,46;4.621,54;4.621,54
gregory Usd;48,50;0,00;0,00;119,59;119,59;-71,09;-71,09
lalucha Bs;500,00;0,00;0,00;0,00;979,73;-479,73;500,00
lalucha Usd;41,00;0,00;0,00;29,80;29,80;11,20;11,20
misnietostecnobet Bs;3.400,00;0,00;0,00;0,00;0,00;3.400,00;3.400,00
misnietostecnobet Usd;1,00;0,00;0,00;0,00;0,00;1,00;1,00
mulata Usd;55,00;0,00;0,00;0,00;0,00;55,00;55,00
paquejuancho Usd;10,00;0,00;0,00;0,00;0,00;10,00;10,00
paqueluisito Bs;4.200,00;0,00;0,00;0,00;0,00;4.200,00;4.200,00
paqueluisito Usd;2,00;0,00;0,00;0,00;0,00;2,00;2,00
sbluistorres Usd;35,00;0,00;0,00;0,00;0,00;35,00;35,00
sbmultijd Usd;115,00;0,00;0,00;298,76;0,00;115,00;-183,76
Total Usd;410,50;0,00;0,00;448,15;149,39;261,11;-37,65
Total Bs;18.640,00;0,00;200,00;1.566,62;1.748,19;16.891,81;17.073,38
